timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes,budgetMiB,prefetchBlockMiB,prefetchDepth,case,costSeconds
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,tpch,1309,295968743,655,121192773,0.4095,0.4996,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,33.9058
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,taxi,659,1064016617,622,1018688988,0.9574,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,40.8150
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,lastfm,1216,1867138,42,3320225,1.7782,0.9655,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,2.1317
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,mm,2785,569189337,1899,506631363,0.8901,0.3181,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,99.7816
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,74.3079
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,fmnist,1216,6140828,936,66725232,10.8658,0.2303,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,47.4363
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,sift,1216,3142849,722,48396991,15.3991,0.4063,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,36.5615
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,emb_real,1216,969764,14,1038718,1.0711,0.9885,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_multimodal,0.7099
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,all,,11189,2588051441,5860,3184814701,1.2306,0.4763,3400,0,0,7717800420,1157124.0,151586,2744989,10267628,0,0,0,0,0,128,1,0,selector:template_auto,323.3728
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,tpch,1309,295968743,484,224629141,0.7590,0.6303,610,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,26.3422
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,taxi,659,1064016617,640,1237236093,1.1628,0.0288,282,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,43.7992
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,lastfm,1216,1867138,21,3985391,2.1345,0.9827,21,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,1.0880
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,mm,2785,569189337,1777,787708686,1.3839,0.3619,1069,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,96.3622
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,clickbench,1572,646756165,1321,792863427,1.2259,0.1597,560,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,73.6113
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,fmnist,1216,6140828,917,82266301,13.3966,0.2459,516,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,46.6346
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,sift,1216,3142849,699,55179597,17.5572,0.4252,335,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,35.4762
20260729-191915,headroom_b128_block1_depth0_template_auto,template_auto,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,7,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:template_auto,0.0590
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,all,,11189,2588051441,5595,2882184918,1.1137,0.5000,68,0,0,7175146873,1110301.5,111761,2734841,10599685,0,0,0,0,0,128,1,0,selector:decision_tree,307.2367
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,tpch,1309,295968743,605,123161773,0.4161,0.5378,7,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,31.4246
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,taxi,659,1064016617,626,1108025771,1.0414,0.0501,19,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,41.8670
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,lastfm,1216,1867138,10,3657711,1.9590,0.9918,2,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,0.5349
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,mm,2785,569189337,1900,506820730,0.8904,0.3178,13,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,99.8334
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,clickbench,1572,646756165,1358,672637033,1.0400,0.1361,18,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,74.3148
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,fmnist,1216,6140828,401,399747197,65.0966,0.6702,4,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,23.8623
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,sift,1216,3142849,684,66412064,21.1312,0.4375,3,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,34.8334
20260729-191932,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,emb_real,1216,969764,11,1722639,1.7763,0.9910,2,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,selector:decision_tree,0.5664
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,all,,11189,2588051441,6211,2434515515,0.9407,0.4449,0,0,0,6465410788,1048560.7,153880,2765368,10561704,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,333.7673
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,tpch,1309,295968743,655,121192773,0.4095,0.4996,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,33.9058
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,taxi,659,1064016617,622,1018688988,0.9574,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,40.8150
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,0.1805
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,mm,2785,569189337,1899,506631363,0.8901,0.3181,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,99.7816
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,74.3079
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,fmnist,1216,6140828,951,63541325,10.3474,0.2179,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,48.1560
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,sift,1216,3142849,722,48396991,15.3991,0.4063,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,36.5615
20260729-191949,headroom_b128_block1_depth0_oracle_bytes,oracle_perworkload,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:bytes,0.0590
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,all,,11189,2588051441,5283,3211580474,1.2409,0.5278,0,0,0,8945078940,1263225.2,29094,2946450,12334602,0,0,0,0,0,128,1,0,oracle_perworkload:cost,294.7780
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,tpch,1309,295968743,580,154582423,0.5223,0.5569,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,30.4742
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,taxi,659,1064016617,622,1018688988,0.9574,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,40.8150
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,0.1805
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,mm,2785,569189337,1899,506631363,0.8901,0.3181,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,99.7816
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,74.3079
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,fmnist,1216,6140828,386,402748965,65.5854,0.6826,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,23.1409
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,sift,1216,3142849,434,452864660,144.0937,0.6431,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,26.0189
20260729-192008,headroom_b128_block1_depth0_oracle_cost,oracle_perworkload,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,oracle_perworkload:cost,0.0590
20260729-192027,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,all,,11189,2588051441,7595,3253885398,1.2573,0.4706,0,0,0,9058584133,1278213.8,189166,3109127,12587418,1671,437739709,25946770,413797177,0,128,1,1,forced:template_locality,410.7815
20260729-192027,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,tpch,1309,295968743,877,255571279,0.8635,0.5027,0,0,0,0,0.0,0,0,0,226,59244544,6159767,53084777,0,128,1,1,forced:template_locality,46.2873
20260729-192027,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,taxi,659,1064016617,842,1154502657,1.0850,0.0379,0,0,0,0,0.0,0,0,0,208,54525952,8883838,47646352,0,128,1,1,forced:template_locality,53.1102
20260729-192027,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,lastfm,1216,1867138,18,3713441,1.9888,0.9901,0,0,0,0,0.0,0,0,0,6,1572864,283126,1289738,0,128,1,1,forced:template_locality,0.9354
